2020-08-15 19:01:47 INFO  MyThread:29 - Transaction number: 1, sumTransaction = 1995, Отправитель-ID: 2598, Money= 8005, Получатель-ID: 8432, Money= 11995
2020-08-15 19:01:47 INFO  MyThread:29 - Transaction number: 2, sumTransaction = 3305, Отправитель-ID: 4601, Money= 6695, Получатель-ID: 8680, Money= 13305
2020-08-15 19:01:49 INFO  MyThread:29 - Transaction number: 3, sumTransaction = 6714, Отправитель-ID: 2156, Money= 3286, Получатель-ID: 10018, Money= 16714
2020-08-15 19:01:50 INFO  MyThread:29 - Transaction number: 4, sumTransaction = 9927, Отправитель-ID: 3462, Money= 73, Получатель-ID: 4202, Money= 19927
2020-08-15 19:01:51 INFO  MyThread:29 - Transaction number: 5, sumTransaction = 4900, Отправитель-ID: 5475, Money= 5100, Получатель-ID: 5763, Money= 14900
2020-08-15 19:01:52 INFO  MyThread:29 - Transaction number: 6, sumTransaction = 9132, Отправитель-ID: 3124, Money= 868, Получатель-ID: 2073, Money= 19132
2020-08-15 19:01:53 INFO  MyThread:29 - Transaction number: 7, sumTransaction = 3547, Отправитель-ID: 1263, Money= 6453, Получатель-ID: 1887, Money= 13547
2020-08-15 19:01:54 INFO  MyThread:29 - Transaction number: 8, sumTransaction = 6056, Отправитель-ID: 4855, Money= 3944, Получатель-ID: 2295, Money= 16056
2020-08-15 19:01:55 INFO  MyThread:29 - Transaction number: 9, sumTransaction = 1151, Отправитель-ID: 950, Money= 8849, Получатель-ID: 5380, Money= 11151
2020-08-15 19:01:55 INFO  MyThread:29 - Transaction number: 10, sumTransaction = 570, Отправитель-ID: 4613, Money= 9430, Получатель-ID: 3125, Money= 10570
2020-08-15 19:01:57 INFO  MyThread:29 - Transaction number: 11, sumTransaction = 6730, Отправитель-ID: 2295, Money= 9326, Получатель-ID: 3259, Money= 16730
2020-08-15 19:01:57 INFO  MyThread:29 - Transaction number: 12, sumTransaction = 9131, Отправитель-ID: 899, Money= 869, Получатель-ID: 9469, Money= 19131
2020-08-15 19:01:58 INFO  MyThread:29 - Transaction number: 13, sumTransaction = 8554, Отправитель-ID: 10496, Money= 1446, Получатель-ID: 2071, Money= 18554
2020-08-15 19:01:59 INFO  MyThread:29 - Transaction number: 14, sumTransaction = 8232, Отправитель-ID: 6593, Money= 1768, Получатель-ID: 8391, Money= 18232
2020-08-15 19:02:00 INFO  MyThread:29 - Transaction number: 15, sumTransaction = 2480, Отправитель-ID: 10367, Money= 7520, Получатель-ID: 7975, Money= 12480
2020-08-15 19:02:00 INFO  MyThread:29 - Transaction number: 16, sumTransaction = 8949, Отправитель-ID: 9187, Money= 1051, Получатель-ID: 9042, Money= 18949
2020-08-15 19:02:01 INFO  MyThread:29 - Transaction number: 17, sumTransaction = 4611, Отправитель-ID: 4960, Money= 5389, Получатель-ID: 8833, Money= 14611
2020-08-15 19:02:02 INFO  MyThread:29 - Transaction number: 18, sumTransaction = 6900, Отправитель-ID: 4797, Money= 3100, Получатель-ID: 1290, Money= 16900
2020-08-15 19:02:03 INFO  MyThread:29 - Transaction number: 19, sumTransaction = 2450, Отправитель-ID: 9238, Money= 7550, Получатель-ID: 9793, Money= 12450
2020-08-15 19:02:04 INFO  MyThread:29 - Transaction number: 20, sumTransaction = 1803, Отправитель-ID: 3877, Money= 8197, Получатель-ID: 1679, Money= 11803
